scope,through_week,series_type,model_name,model_family,fingerprint,games,margin_games,margin_mae,su_wins,su_losses,su_accuracy,brier_games,brier_score,ats_wins,ats_losses,ats_pushes,ats_accuracy
cumulative,2,model,scientific_F1_M10,knn,F1,96,96,18.203488501476556,61,35,0.6354166666666666,96,0.21061585424835402,37,58,1,0.3894736842105263
cumulative,2,model,scientific_F1_M2,spline,F1,96,96,17.518378354539063,67,29,0.6979166666666666,96,0.19382289773352301,44,51,1,0.4631578947368421
cumulative,2,model,scientific_F1_M3,tree,F1,96,96,16.758911420055355,69,27,0.71875,96,0.17750550390620123,43,52,1,0.45263157894736844
cumulative,2,model,scientific_F1_M4,boosted,F1,96,96,16.398475926178904,74,22,0.7708333333333334,96,0.17389134698988165,42,53,1,0.4421052631578947
cumulative,2,model,scientific_F1_M5,neural,F1,96,96,17.452739259810187,68,28,0.7083333333333334,96,0.18470341965051204,42,53,1,0.4421052631578947
cumulative,2,model,scientific_F2_M1,linear,F2,96,96,18.871457665123767,69,27,0.71875,96,0.2123335492010495,40,55,1,0.42105263157894735
cumulative,2,model,scientific_F2_M10,knn,F2,96,96,19.790794300863592,55,41,0.5729166666666666,96,0.22786971696049765,43,52,1,0.45263157894736844
cumulative,2,model,scientific_F2_M2,spline,F2,96,96,17.195751238814648,69,27,0.71875,96,0.19271661471167598,40,55,1,0.42105263157894735
cumulative,2,model,scientific_F2_M3,tree,F2,96,96,17.826872732652756,62,34,0.6458333333333334,96,0.20230711405640597,39,56,1,0.4105263157894737
cumulative,2,model,scientific_F2_M4,boosted,F2,96,96,16.436252245472442,71,25,0.7395833333333334,96,0.17850123901144702,39,56,1,0.4105263157894737
cumulative,2,model,scientific_F2_M5,neural,F2,96,96,19.598137001196545,65,31,0.6770833333333334,96,0.21497620017095945,42,53,1,0.4421052631578947
cumulative,2,model,scientific_F3_M1,linear,F3,96,96,18.435025589623645,67,29,0.6979166666666666,96,0.21076180402213832,43,52,1,0.45263157894736844
cumulative,2,model,scientific_F3_M10,knn,F3,96,96,18.28206796396061,60,36,0.625,96,0.2257736764210946,48,47,1,0.5052631578947369
cumulative,2,model,scientific_F3_M2,spline,F3,96,96,17.011341855710537,67,29,0.6979166666666666,96,0.18587447524643083,45,50,1,0.47368421052631576
cumulative,2,model,scientific_F3_M3,tree,F3,96,96,16.789958928492393,66,30,0.6875,96,0.18847151136133103,44,51,1,0.4631578947368421
cumulative,2,model,scientific_F3_M4,boosted,F3,96,96,15.840432924569912,70,26,0.7291666666666666,96,0.1723180965536694,45,50,1,0.47368421052631576
cumulative,2,model,scientific_F3_M5,neural,F3,96,96,19.688768681138754,64,32,0.6666666666666666,96,0.2188678374898132,42,53,1,0.4421052631578947
